hotel_id,name,rating,price,rooms,short_description,property_type,location,index_photo,cancellation_policy,phone,email
1,Hotel Rangá,9.1,60134,51,"Luxury countryside hotel, ideal for Northern Lights",1,"Suðurlandsvegur","/images/ranga.jpg","Non-refundable if canceled within 72 hours",+354-555-0001,ranga@icelandhotels.is
2,Radisun Blu 1919,8.4,38900,88,"This hotel is in the fashionable 101 District, close to Reykjavík Harbour. Wi-Fi and gym access is free.",1,"Pósthússtræti 2","/images/radisson.jpg","Flexible cancellation up to 48 hours before arrival",+354-555-0002,radisson1919@icelandhotels.is
3,Center Hotels Arnarhvoll,8.2,20800,14,"Located in central Reykjavik, across from The Harpa concert hall, this stylish hotel features modern Nordic design",1,"Ingólfsstræti 1","/images/centerhotelsarnarhvoll.jpg","Free cancellation if canceled 7 days prior",+354-555-0003,arnarhvoll@icelandhotels.is
4,Hilton Reykjvaik Nordica,7.9,20800,70,"Located in Reykjavik's business district, this Hilton hotel offers a 5-star gourmet restaurant, popular breakfast buffet and helpful, knowledgeable staff.",1,"Suðurlandsbraut 2","/images/hilton.jpg","Non-refundable if canceled within 24 hours",+354-555-0004,hiltonnordica@icelandhotels.is
5,Exeter Hotel,8.8,23800,20,"This contemporary design hotel is set in Reykjavík's Old Harbour area, 500 metres from Harpa Concert Hall & Conference Centre.",1,"Tryggvagata 12","/images/exeter.jpg","Flexible cancellation up to 72 hours before arrival",+354-555-0005,exeter@icelandhotels.is
6,Hotel Ódinsvé,8.5,19000,10,"Hotel Odinsve is 400 metres from Laekjartorg Square in central Reykjavik.",1,"þórsgata 1","/images/odinsve.jpg","Free cancellation if canceled before 48 hours",+354-555-0006,odinsve@icelandhotels.is
7,Hotel Borg by Keahotels,8.9,25000,99,"This hotel overlooks the historic square, Austurvöllur, in central Reykjavik.",1,"Pósthússtræti 11","/images/borg.jpg","Non-refundable if canceled within 7 days",+354-555-0007,hotelborg@icelandhotels.is
8,Canopy by Hilton Reykjavik City Centre,8.9,27800,112,"Canopy by Hilton Reykjavik City Centre is set in the Reykjavik East district in Reykjavik, 100 metres from Laugavegur Shopping Street.",1,"Smiðjustígur 4","/images/canopy.jpg","Free cancellation if canceled 5 days prior",+354-555-0008,canopy@icelandhotels.is
9,Iceland Parliament Hotel,8.9,26900,69,"Iceland Parliament Hotel is located in Reykjavik, 300 metres from The Parliament House.",1,"þorvaldsenstræti 2-6","/images/parliament.jpg","Flexible cancellation up to 24 hours before arrival",+354-555-0009,icelandparliament@icelandhotels.is
10,Hotel Muli,8.3,25000,55,"Hotel Muli is located in Reykjavik, 300 metres from The Parliament House.",1,"Hallarmúli 1","/images/muli.jpg","Non-refundable if canceled within 48 hours",+354-555-0010,hotelmuli@icelandhotels.is
11,Fosshotel Lind,8.1,18700,48,"This hotel is a 1-minute walk from Hlemmur Bus Terminal and Reykjavik's main street, Laugavegur. It features free private parking and rooms with a flat-screen TV.",1,"Rauðarárstígur 18","/images/lind.jpg","Free cancellation if canceled within 72 hours",+354-555-0011,fosshotellind@icelandhotels.is
12,Reykjavik Marina - Berjaya Iceland Hotels,8.7,20000,100,"Set in the popular 101 harbour district of Berjaya Reykjavik Marina Hotel offers free Wi-Fi access. All rooms include a flat-screen TV and either city or harbor views.",1,"Mýrargata 2","/images/marina.jpg","Flexible cancellation up to 3 days before arrival",+354-555-0012,marina@icelandhotels.is
13,CityHub Reykjavik,9.1,12700,70,"Ideally located in the centre of Reykjavík, CityHub Reykjavik offers air-conditioned rooms, a bar and free WiFi.",3,"Hverfisgata 46","/images/cityhub.jpg","Non-refundable if canceled within 24 hours",+354-555-0013,cityhub@icelandhotels.is
14,Hotel Reykjavík Saga,9.0,31800,160,"Hotel Reykjavík Saga features a fitness centre, garden, a terrace and restaurant in Reykjavík.",1,"Lækjargata 12","/images/saga.jpg","Free cancellation up to 48 hours prior",+354-555-0014,hotelsaga@icelandhotels.is
15,Downtown Reykjavík Apartments,7.8,18000,10,"Located in central Reykjavík, Downtown Reykjavík Apartments are just a few minutes walk from Hlemmur Bus Station and the main shopping street, Laugavegur.",2,"Rauðarárstígur 31","/images/downtownApartments.jpg","Non-refundable if canceled within 5 days",+354-555-0015,downtownapts@icelandhotels.is
16,Freyja Guesthouse & Suites,9.3,18200,15,"Well set in Reykjavík, Freyja Guesthouse & Suites provides a continental breakfast and free WiFi.",2,"Freyjugata 39","/images/freyja.jpg","Flexible cancellation until 24 hours before arrival",+354-555-0016,freyjaguesthouse@icelandhotels.is
17,Astro Apartments,8.3,16300,10,"These stylish, modern apartments are a 2-minute walk from Reykjavik's main shopping street, Laugavegur.",2,"Grettisgata 53","/images/astro.jpg","Free cancellation if canceled 7 days prior",+354-555-0017,astroapts@icelandhotels.is
18,Snorri's Guesthouse,8.4,16000,4,"Snorri's Guesthouse is located on Snorrabraut in Reykjavik, 500 metres from Hallgrímskirkja Church.",2,"Snorrabraut 29","/images/snorri.jpg","Flexible cancellation up to 48 hours before arrival",+354-555-0018,snorri@icelandhotels.is
19,Guesthouse Pavi,7.8,11997,20,"Guesthouse Pavi is located in Reykjavik, only 50 metres from Laugavegur street.",2,"Brautarholt 4","/images/pavi.jpg","Non-refundable if canceled within 72 hours",+354-555-0019,guesthousepavi@icelandhotels.is
20,Víðines Guesthouse,8.1,11000,16,"Offering garden views, Víðines Guesthouse is an accommodation situated in Reykjavík, 23 km from Hallgrímskirkja Church",2,"Víðinesvegur 162","/images/vidines.jpg","Free cancellation if canceled 5 days prior",+354-555-0020,vidines@icelandhotels.is
21,Stay Apartments Einholt,8.3,18900,8,"Located in central Reykjavik, Stay Apartments Einholt offers stylish apartments with a kitchenette, flat-screen TV and free WiFi internet.",2,"Einholt 2","/images/einholt.jpg","Non-refundable if canceled within 24 hours",+354-555-0021,einholt@icelandhotels.is
22,Refurinn Reykjavik Guesthouse,8.5,13900,10,"Refurinn Reykjavik Guesthouse is located in Reykjavík, 1.2 km from Solfar Sun Voyager and 1.3 km from Hallgrímskirkja Church.",2,"26 Ægisgata","/images/refurinn.jpg","Free cancellation if canceled 3 days prior",+354-555-0022,refurinn@icelandhotels.is
23,Hotel Kea by Keahotels,8.1,19580,104,"This hotel is centrally located on Akureyri's pedestrian street, by the Eyjafjördur Fjord. It offers in-room tea/coffee makers, dry cleaning services.",1,"Hafnarstræti 87-89","/images/kea.jpg","Flexible cancellation up to 48 hours before arrival",+354-555-0023,hotelkea@icelandhotels.is
24,Akureyri-Berjaya Iceland Hotels,8.3,16423,60,"Located in the heart of Akureyri, this hotel offers a restaurant and free WiFi.",1,"Þingvallastræti 23","/images/akureyriberjaya.jpg","Non-refundable if canceled within 48 hours",+354-555-0024,akureyriberjaya@icelandhotels.is
25,Akureyri Backpackers,7.5,17000,80,"Situated in central Akureyri, Akureyri Backpackers offers free Wi-Fi and rooms with access to shared bathroom facilities.",3,"Hafnarstræti 98","/images/backpackers.jpg","Free cancellation up to 5 days prior",+354-555-0025,akbackpackers@icelandhotels.is
26,Hafnarstræti Hostel,8.2,11000,55,"Hafnarstræti Hostel offers capsule sleeping pods in Akureyri. Guests can choose from single or double bed capsules.",3,"Hafnarstræti 99","/images/hafnarstraeti.jpg","Flexible cancellation up to 3 days before arrival",+354-555-0026,hafnarhostel@icelandhotels.is
27,Akureyri Lux apartments,8.4,22000,12,"Located in Akureyri in the North Iceland region, with Hof - Cultural Center and Conference Hall nearby, Akureyri Lux Apartments provides accommodation with access to a hot tub.",2,"Tryggvabraut 24","/images/lux.jpg","Non-refundable if canceled within 24 hours",+354-555-0027,aklux@icelandhotels.is
28,Hotel Vestmanneyjar,8.6,28600,98,"Situated in central Vestmannaeyjar, this hotel offers free sauna access, free parking and rooms with free Wi-Fi access and a TV.",1,"Vestmannabraut 28","/images/vestmanneyjar.jpg","Free cancellation if canceled 2 days prior",+354-555-0028,vestmanneyjar@icelandhotels.is
29,Westman Islands Inn,7.1,17390,50,"1.9 km from Vestmannaeyjar Golf Club, Westman Islands Inn is situated in Vestmannaeyjar and provides free WiFi and express check-in and check-out.",1,"Bárustígur 2","/images/westman.jpg","Flexible cancellation up to 48 hours before arrival",+354-555-0029,westmaninn@icelandhotels.is
30,Luxury Ocean Villas,9.7,123750,5,"Boasting a hot tub, Luxury Ocean Villas is set in Vestmannaeyjar. The property features city and quiet street views, and is 500 metres from Vestmannaeyjar Golf Club.",2,"Búhamar 2","/images/luxury.jpg","Non-refundable if canceled within 7 days",+354-555-0030,luxuryocean@icelandhotels.is
31,Hotel Ísafjörður-torg,8.0,28200,50,"Situated in central Isafjördur, on Silfurtorg Square, this hotel offers a restaurant and bar and panoramic views of the fjord and surrounding mountains.",1,"Silfurtorg 2","/images/isafjordur.jpg","Free cancellation if canceled 5 days prior",+354-555-0031,isafjordur@icelandhotels.is
32,Mánagisting Guesthouse,7.0,11979,20,"Mánagisting Guesthouse is located in Isafjördur, 1.1 km from Pollurinn and 1.2 km from Isafjordur Music Hall.",2,"Mánagata 3","/images/managisting.jpg","Flexible cancellation up to 48 hours before arrival",+354-555-0032,managisting@icelandhotels.is
33,Ísafjörður Hostel,7.4,11995,22,"Ísafjörður Hostel offers accommodation in Isafjördur. Free WiFi is available and free private parking is available on site.",3,"Mánagata 1","/images/isafjordurhostel.jpg","Non-refundable if canceled within 24 hours",+354-555-0033,isafjordurhostel@icelandhotels.is
34,Hótel Valaskjálf,7.9,21540,41,"Hótel Valaskjálf features a garden, terrace, a restaurant and bar in Egilsstadir.",1,"Skógarlönd 6","/images/valaskjalf.jpg","Free cancellation if canceled 3 days prior",+354-555-0034,valaskjalf@icelandhotels.is
35,Tehúsið Hostel & Guesthouse,8.4,25460,20,"Tehúsið Hostel & Guesthouse is located in Egilsstadir, 5 km from Lagarfljot River.",3,"Kaupvangur 17","/images/tehusid.jpg","Non-refundable if canceled within 48 hours",+354-555-0035,tehusid@icelandhotels.is
36,Magma Hotel,9.4,37970,44,"Located within 3 km of Kirkjugólf and Systrafoss twin waterfalls, Magma Hotel offers accommodation in Kirkjubæjarklaustur.",1,"Tunga","/images/magma.jpg","Flexible cancellation up to 72 hours before arrival",+354-555-0036,magma@icelandhotels.is
37,Landbrot Guesthouse,8.9,29240,20,"Landbrot Guesthouse is located in Kirkjubæjarklaustur, 8 km from Systrafoss twin waterfalls.",2,"Tunga 1","/images/landbrot.jpg","Non-refundable if canceled within 7 days",+354-555-0037,landbrot@icelandhotels.is
38,Golden Circle Luxury Cottages Lake View,8.5,68445,5,"Golden Circle Luxury Cottages Lake View is located in Laugarvatn, 3.5 km from Laugarvatn Fontana Geothermal Baths.",2,"Ljosafossskoli","/images/goldencircle.jpg","Free cancellation if canceled 5 days prior",+354-555-0038,goldencircle@icelandhotels.is
39,Glaðheimar Cottages,7.1,24900,10,"Overlooking River Blanda in Blonduos village, these cottages are located right by Iceland's Ring Road.",2,"Glaðheimar 1","/images/gladheimar.jpg","Flexible cancellation until 24 hours before arrival",+354-555-0039,gladheimar@icelandhotels.is
40,The Reykjavik EDITION,8.9,61400,42,"Set in Reykjavík, 600 metres from Solfar Sun Voyager, The Reykjavik EDITION offers accommodation with a fitness centre, private parking, a terrace and a restaurant.",1,"Hverfisgata 30","/images/edition.jpg","Non-refundable if canceled within 48 hours",+354-555-0040,reykjavikedition@icelandhotels.is
41,Eleven Deplar Farm,9.0,826500,20,"It doesn't get more off-the-grid than the Fljót Valley on the mountainous Troll Peninsula in northern Iceland.",2,"Fljót","/images/deplar.jpg","Free cancellation if canceled 7 days prior",+354-555-0041,deplarfarm@icelandhotels.is
